PLANTING.ORDER,BOX,PASS,RANGE,UNIQUE,trial,field,gid,plot,PACKING.ORDER,line01,line02,line03
153,BOX-26_3,PASS_26,RANGE_4,iCrop-UIUC-23_M461_SABERxAUSTRIAN FIELD_325,iCrop-UIUC-23,M461,SABERxAUSTRIAN FIELD,325,132,SO: 153 id: SABERxAUSTRIAN FIELD,132;P:26-R:4,M461_iCrop-UIUC-23
154,BOX-26_4,PASS_26,RANGE_3,iCrop-UIUC-23_M461_GOPHERxAUSTRIAN FIELD_201,iCrop-UIUC-23,M461,GOPHERxAUSTRIAN FIELD,201,85,SO: 154 id: GOPHERxAUSTRIAN FIELD,85;P:26-R:3,M461_iCrop-UIUC-23
155,BOX-26_5,PASS_26,RANGE_2,iCrop-UIUC-23_M461_MN18038X-008xOrganic 4010_125,iCrop-UIUC-23,M461,MN18038X-008xOrganic 4010,125,110,SO: 155 id: MN18038X-008xOrganic 4010,110;P:26-R:2,M461_iCrop-UIUC-23
156,BOX-26_6,PASS_26,RANGE_1,FILL-M461-23_Urb_FB_55,FILL-M461-23,Urb,FB,55,55,SO: 156 id: FB,55;P:26-R:1,Urb_FILL-23
157,BOX-27_1,PASS_27,RANGE_1,FILL-M461-23_Urb_FB_57,FILL-M461-23,Urb,FB,57,57,SO: 157 id: FB,57;P:27-R:1,Urb_FILL-23
158,BOX-27_2,PASS_27,RANGE_2,FILL-M461-23_Urb_FB_58,FILL-M461-23,Urb,FB,58,58,SO: 158 id: FB,58;P:27-R:2,Urb_FILL-23
159,BOX-27_3,PASS_27,RANGE_3,FILL-M461-23_Urb_FB_59,FILL-M461-23,Urb,FB,59,59,SO: 159 id: FB,59;P:27-R:3,Urb_FILL-23
160,BOX-27_4,PASS_27,RANGE_4,FILL-M461-23_Urb_FB_60,FILL-M461-23,Urb,FB,60,60,SO: 160 id: FB,60;P:27-R:4,Urb_FILL-23
161,BOX-27_5,PASS_27,RANGE_5,FILL-M461-23_Urb_FB_61,FILL-M461-23,Urb,FB,61,61,SO: 161 id: FB,61;P:27-R:5,Urb_FILL-23
162,BOX-27_6,PASS_27,RANGE_6,FILL-M461-23_Urb_FB_62,FILL-M461-23,Urb,FB,62,62,SO: 162 id: FB,62;P:27-R:6,Urb_FILL-23
